PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36514580,Role of Probiotics in Human Health,"Bodke H, Jogdand S.",Cureus. 2022 Nov 9,,,,,,,
31825092,Interventions for managing halitosis,"Kumbargere Nagraj S, Eachempati P, Uma E, Singh VP, Ismail NM, Varghese E.",Cochrane Database Syst Rev. 2019 Dec 11,,,,,,,
36968114,A comprehensive review of the application of probiotics and postbiotics in oral health,"Homayouni Rad A, Pourjafar H, Mirzakhani E.",Front Cell Infect Microbiol. 2023 Mar 8,,,,,,,
29269592,Tongue coating: its characteristics and role in intra-oral halitosis and general health-a review,"Seerangaiyan K, Jüch F, Winkel EG.",J Breath Res. 2018 Mar 6,,,,,,,
30129220,Oral health and dental care of older persons-A systematic map of systematic reviews,"Ástvaldsdóttir Á, Boström AM, Davidson T, Gabre P, Gahnberg L, Sandborgh Englund G, Skott P, Ståhlnacke K, Tranaeus S, Wilhelmsson H, Wårdh I, Östlund P, Nilsson M.",Gerodontology. 2018 Dec,,,,,,,
34176571,Controlling bad breath,Mark AM.,J Am Dent Assoc. 2021 Jul,,,,,,,
31552882,Clinical utility of ozone therapy in dental and oral medicine,"Suh Y, Patel S, Kaitlyn R, Gandhi J, Joshi G, Smith NL, Khan SA.",Med Gas Res. 2019 Jul-Sep,,,,,,,
30729452,"Probiotics as an Adjunct Therapy for the Treatment of Halitosis, Dental Caries and Periodontitis","Bustamante M, Oomah BD, Mosi-Roa Y, Rubilar M, Burgos-Díaz C.",Probiotics Antimicrob Proteins. 2020 Jun,,,,,,,
36156769,Local interventions for the management of alveolar osteitis (dry socket),"Daly BJ, Sharif MO, Jones K, Worthington HV, Beattie A.",Cochrane Database Syst Rev. 2022 Sep 26,,,,,,,
34562980,The Current and Potential Application of Medicinal Cannabis Products in Dentistry,"Lowe H, Toyang N, Steele B, Bryant J, Ngwa W, Nedamat K.",Dent J (Basel). 2021 Sep 10,,,,,,,
29668457,Probiotics: Evidence of Oral Health Implications,"Meurman JH, Stamatova IV.",Folia Med (Plovdiv). 2018 Mar 1,,,,,,,
32907783,Probiotics-A complete oral healthcare package,"Mishra S, Rath S, Mohanty N.",J Integr Med. 2020 Nov,,,,,,,
32326126,Microbiota and Malodor-Etiology and Management,"Mogilnicka I, Bogucki P, Ufnal M.",Int J Mol Sci. 2020 Apr 20,,,,,,,
30927516,Induction and inhibition of oral malodor,"Suzuki N, Yoneda M, Takeshita T, Hirofuji T, Hanioka T.",Mol Oral Microbiol. 2019 Jun,,,,,,,
32950729,Halitosis and photodynamic therapy,Javed F.,Photodiagnosis Photodyn Ther. 2020 Dec,,,,,,,
33077409,Novel oral biomarkers predicting oral malodor,"Takaesu Y, Suzuki N, Naito M, Watanabe T, Shimazu A, Yatabe N, Yoneda M, Hirofuji T, Hanioka T.",Oral Surg Oral Med Oral Pathol Oral Radiol. 2020 Dec,,,,,,,
38789764,Tongue-coating characteristics in halitosis,Wadia R.,Br Dent J. 2024 May,,,,,,,
32112023,Charcoal-based mouthwashes: a literature review,"Brooks JK, Bashirelahi N, Hsia RC, Reynolds MA.",Br Dent J. 2020 Feb,,,,,,,
36208445,Cyclosporine-induced gingival overgrowth-Review,"Chojnacka-Purpurowicz J, Wygonowska E, Placek W, Owczarczyk-Saczonek A.",Dermatol Ther. 2022 Dec,,,,,,,
30696440,"Assessment of the oral health behavior, knowledge and status among dental and medical undergraduate students: a cross-sectional study","Yao K, Yao Y, Shen X, Lu C, Guo Q.",BMC Oral Health. 2019 Jan 29,,,,,,,
30000841,Garlic,2023 Nov 15. Drugs and Lactation Database (LactMed®) [Internet]. Bethesda (MD): National Institute of Child Health and Human Development,,,,,,,,
30440100,Halitosis: Helicobacter pylori or oral factors,"Anbari F, Ashouri Moghaddam A, Sabeti E, Khodabakhshi A.",Helicobacter. 2019 Feb,,,,,,,
35196931,The Importance of Nitrate Reduction for Oral Health,"Rosier BT, Takahashi N, Zaura E, Krom BP, MartÍnez-Espinosa RM, van Breda SGJ, Marsh PD, Mira A.",J Dent Res. 2022 Jul,,,,,,,
35513817,Effectiveness of oral care interventions on malodour in dogs,"Croft JM, Patel KV, Inui T, Ruparell A, Staunton R, Holcombe LJ.",BMC Vet Res. 2022 May 5,,,,,,,
38623900,Tongue-Coating Microbial and Metabolic Characteristics in Halitosis,"Zhang Y, Lo KL, Liman AN, Feng XP, Ye W.",J Dent Res. 2024 May,,,,,,,
37843633,"Halitosis: etiology, prevention, and the role of microbiota","Li Z, Li J, Fu R, Liu J, Wen X, Zhang L.",Clin Oral Investig. 2023 Nov,,,,,,,
36342072,Concerning perceived and clinically-measured levels of halitosis,"Oshiro A, Zaitsu T, Inoue Y, Srinarupat J, Nguyen VTN, Nagai M, Aida J.",J Breath Res. 2022 Nov 7,,,,,,,
33227726,Alternative therapies in controlling oral malodour: a systematic review,"Wylleman A, Vuylsteke F, Dekeyser C, Teughels W, Quirynen M, Laleman I.",J Breath Res. 2021 Jan 22,,,,,,,
29947332,Efficacy of probiotics: clinical and microbial parameters of halitosis,"Georgiou AC, Laine ML, Deng DM, Brandt BW, van Loveren C, Dereka X.",J Breath Res. 2018 Aug 21,,,,,,,
34447205,Effect of Chlorhexidine and Probiotics on Halitosis,"Sudhakaran S, Tom JJ, Shyam A, Mohan S, Ali S, Raj M.",J Pharm Bioallied Sci. 2021 Jun,,,,,,,
32213143,Lactoferrin and oral pathologies: a therapeutic treatment,"Rosa L, Lepanto MS, Cutone A, Ianiro G, Pernarella S, Sangermano R, Musci G, Ottolenghi L, Valenti P.",Biochem Cell Biol. 2021 Feb,,,,,,,
33045536,Laser tongue debridement for oral malodor-A novel approach to halitosis,"Krespi YP, Kizhner V, Wilson KA, Sivriver A, Low S, Khosravi Y, Stoodley P.",Am J Otolaryngol. 2021 Jan-Feb,,,,,,,
35579104,Oral care tablet containing kiwifruit powder affects tongue coating microbiome,"Fukui M, Asakuma H, Horiuchi H, Takii H, Yoshioka M, Hinode D.",Clin Exp Dent Res. 2022 Jun,,,,,,,
36141577,Revisiting Standard and Novel Therapeutic Approaches in Halitosis: A Review,"Izidoro C, Botelho J, Machado V, Reis AM, Proença L, Alves RC, Mendes JJ.",Int J Environ Res Public Health. 2022 Sep 8,,,,,,,
34951749,Self-perceived halitosis among young adults undergoing orthodontic treatment,"Banjar AA, Hassan SM, Alyafi RA, Alawady SA, Alghamdi MH, Baik KM.",Int J Dent Hyg. 2022 Aug,,,,,,,
33200432,Effect of essential oils on oral halitosis treatment: a review,"Dobler D, Runkel F, Schmidts T.",Eur J Oral Sci. 2020 Dec,,,,,,,
33652982,Droplet Sizes Emitted from Demonstration Electric Toothbrushes,"Mark EP, Lewis MAO, Graziani F, Atlas B, Utsch J.",Int J Environ Res Public Health. 2021 Feb 26,,,,,,,
31950293,The OralChroma(TM) CHM-2: a comparison with the OralChroma(TM) CHM-1,"Laleman I, Dekeyser C, Wylleman A, Teughels W, Quirynen M.",Clin Oral Investig. 2020 Aug,,,,,,,
34910438,Halitosis in Oral and Maxillofacial Surgery Patients - a Pilot Study,"Willershausen I, Krautkremer F, Sagheb K, Weider M, Weusmann J, Mittermeier F, Ehrhardt J, Sagheb K, Gölz L, Walter C.",Clin Lab. 2021 Dec 1,,,,,,,
29146888,Halitosis in children with adenoid hypertrophy,"Sikorska-Żuk M, Bochnia M.",J Breath Res. 2018 Feb 20,,,,,,,
37867064,Effectiveness of Mouthwashes in Managing Oral Diseases and Conditions: Do They Have a Role?,"McGrath C, Clarkson J, Glenny AM, Walsh LJ, Hua F.",Int Dent J. 2023 Nov,,,,,,,
37765121,The Benefits of Probiotics on Oral Health: Systematic Review of the Literature,"Inchingolo F, Inchingolo AM, Malcangi G, De Leonardis N, Sardano R, Pezzolla C, de Ruvo E, Di Venere D, Palermo A, Inchingolo AD, Corriero A, Dipalma G.",Pharmaceuticals (Basel). 2023 Sep 16,,,,,,,
32748883,The Role of Oral Microbiota in Intra-Oral Halitosis,"Hampelska K, Jaworska MM, Babalska ZŁ, Karpiński TM.",J Clin Med. 2020 Aug 2,,,,,,,
31166191,Microbial Cycling of Methanethiol,"Schäfer H, Eyice Ö.",Curr Issues Mol Biol. 2019,,,,,,,
32340013,Oral health and halitosis among type 1 diabetic and healthy children,"Iscan TA, Ozsin-Ozler C, Ileri-Keceli T, Guciz-Dogan B, Alikasifoglu A, Uzamis-Tekcicek M.",J Breath Res. 2020 Jul 3,,,,,,,
35080078,Effect of lemon essential oil on halitosis,"Ma L, Pang C, Yan C, Chen J, Wang X, Hui J, Zhou L, Zhang X.",Oral Dis. 2023 May,,,,,,,
29760825,A Current Approach to Halitosis and Oral Malodor- A Mini Review,Bicak DA.,Open Dent J. 2018 Apr 30,,,,,,,
33641145,"Self-Perceived Halitosis in La, a Suburb of Accra, Ghana","Tormeti D, Blankson PK, Atinkah S, Sackeyfio J, Dai-Kosi A, Ayettey-Adamafio M.",West Afr J Med. 2021 Feb,,,,,,,
31318704,Untargeted metabolomics of the bacterial tongue coating of intra-oral halitosis patients,"Seerangaiyan K, Maruthamuthu M, van Winkelhoff AJ, Winkel EG.",J Breath Res. 2019 Aug 20,,,,,,,
38530258,Common Oral Conditions: A Review,"Stoopler ET, Villa A, Bindakhil M, Díaz DLO, Sollecito TP.",JAMA. 2024 Mar 26,,,,,,,
31550680,Is SIBO A Real Condition?,Ruscio M.,Altern Ther Health Med. 2019 Sep,,,,,,,
36055216,Volatile composition of the morning breath,"Roslund K, Lehto M, Pussinen P, Metsälä M.",J Breath Res. 2022 Sep 19,,,,,,,
36600415,Efficacy of probiotics in the management of halitosis: a systematic review and meta-analysis,"Huang N, Li J, Qiao X, Wu Y, Liu Y, Wu C, Li L.",BMJ Open. 2022 Dec 20,,,,,,,
37378153,Evaluation of Anti-plaque and Anti-gingivitis Efficacy of Two Commercially Available Herbal and Non-herbal Toothpastes,"Garg Y, Chowdhary Z, Garg K, Kshirsagar MM, Sharma A, Ramvilas Reddy J, Paiwal K.",Cureus. 2023 May 27,,,,,,,
35162930,"Estonian Dental Students' Oral Health-Related Knowledge, Attitudes and Behaviours (KAB): National Survey-Based Study","Riad A, Põld A, Olak J, Howaldt HP, Klugar M, Krsek M, Attia S.",Int J Environ Res Public Health. 2022 Feb 8,,,,,,,
38029238,Multi-function screening of probiotics to improve oral health and evaluating their efficacy in a rat periodontitis model,"Nie Q, Wan X, Tao H, Yang Q, Zhao X, Liu H, Hu J, Luo Y, Shu T, Geng R, Gu Z, Fan F, Liu Z.",Front Cell Infect Microbiol. 2023 Nov 7,,,,,,,
31838294,Potential antibacterial and anti-halitosis activity of medicinal plants against oral bacteria,"Veloso DJ, Abrão F, Martins CHG, Bronzato JD, Gomes BPFA, Higino JS, Sampaio FC.",Arch Oral Biol. 2020 Feb,,,,,,,
