PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
34416078,Treatment of Axillary hyperhidrosis,"Arora G, Kassir M, Patil A, Sadeghi P, Gold MH, Adatto M, Grabbe S, Goldust M.",J Cosmet Dermatol. 2022 Jan,,,,,,,
33482257,Bromhidrosis treatment modalities: A literature review,"Malik AS, Porter CL, Feldman SR.",J Am Acad Dermatol. 2023 Jul,,,,,,,
32124007,Physiological mechanisms determining eccrine sweat composition,"Baker LB, Wolfe AS.",Eur J Appl Physiol. 2020 Apr,,,,,,,
30710603,"The etiology, diagnosis, and management of hyperhidrosis: A comprehensive review: Therapeutic options","Nawrocki S, Cha J.",J Am Acad Dermatol. 2019 Sep,,,,,,,
31811879,Botulinum toxin: Pharmacology and injectable administration for the treatment of primary hyperhidrosis,"Nawrocki S, Cha J.",J Am Acad Dermatol. 2020 Apr,,,,,,,
30710604,"The etiology, diagnosis, and management of hyperhidrosis: A comprehensive review: Etiology and clinical work-up","Nawrocki S, Cha J.",J Am Acad Dermatol. 2019 Sep,,,,,,,
36896776,Deodorants and antiperspirants: New trends in their active agents and testing methods,"Teerasumran P, Velliou E, Bai S, Cai Q.",Int J Cosmet Sci. 2023 Aug,,,,,,,
28332116,Sweating Rate and Sweat Sodium Concentration in Athletes: A Review of Methodology and Intra/Interindividual Variability,Baker LB.,Sports Med. 2017 Mar,,,,,,,
33938689,Management of Primary Focal Hyperhidrosis: An Algorithmic Approach,"Liu V, Farshchian M, Potts GA.",J Drugs Dermatol. 2021 May 1,,,,,,,
31996625,Sweating Disorders,"Coon EA, Cheshire WP Jr.",Continuum (Minneap Minn). 2020 Feb,,,,,,,
28284421,Microwave Treatment for Axillary Hyperhidrosis and Bromhidrosis,"Sánchez-Carpintero I, Martín-Gorgojo A, Ruiz-Rodríguez R.",Actas Dermosifiliogr. 2017 Jun,,,,,,,
27692196,Pathophysiology of Hyperhidrosis,Schick CH.,Thorac Surg Clin. 2016 Nov,,,,,,,
26051066,"Hyperhidrosis, bromhidrosis, and chromhidrosis: Fold (intertriginous) dermatoses","Semkova K, Gergovska M, Kazandjieva J, Tsankov N.",Clin Dermatol. 2015 Jul-Aug,,,,,,,
34445952,Monitor for lactate in perspiration,"Luo TT, Sun ZH, Li CX, Feng JL, Xiao ZX, Li WD.",J Physiol Sci. 2021 Aug 26,,,,,,,
35522818,Odorant Metabolism in Humans,"Kornbausch N, Debong MW, Buettner A, Heydel JM, Loos HM.",Angew Chem Int Ed Engl. 2022 Aug 26,,,,,,,
39096181,Advances in the treatment of axillary bromhidrosis,"Zhang J, Han P, Yang F, Jiang B.",Skin Res Technol. 2024 Aug,,,,,,,
28318360,Axillary hyperhidrosis: a focused review,"Sammons JE, Khachemoune A.",J Dermatolog Treat. 2017 Nov,,,,,,,
29169766,Sweat mechanisms and dysfunctions in atopic dermatitis,"Hendricks AJ, Vaughn AR, Clark AK, Yosipovitch G, Shi VY.",J Dermatol Sci. 2018 Feb,,,,,,,
27584960,Sweat as an Efficient Natural Moisturizer,"Shiohara T, Sato Y, Komatsu Y, Ushigome Y, Mizukawa Y.",Curr Probl Dermatol. 2016,,,,,,,
37098135,Multifunctional Wearable System for Mapping Body Temperature and Analyzing Sweat,"Alam MS, Kim JK, Choi J.",ACS Sens. 2023 May 26,,,,,,,
28538882,Oxybutynin as an alternative treatment for hyperhidrosis,"Delort S, Marchi E, Corrêa MA.",An Bras Dermatol. 2017 Mar-Apr,,,,,,,
33077118,Sweat rate and sweat composition during heat acclimation,"Klous L, De Ruiter C, Alkemade P, Daanen H, Gerrett N.",J Therm Biol. 2020 Oct,,,,,,,
34752663,Enhancing the sweat resistance of sunscreens,"Keshavarzi F, Knudsen NØ, Komjani NM, Ebbesen MF, Brewer JR, Jafarzadeh S, Thormann E.",Skin Res Technol. 2022 Mar,,,,,,,
26507593,What Makes Us Smell: The Biochemistry of Body Odour and the Design of New Deodorant Ingredients,Natsch A.,Chimia (Aarau). 2015,,,,,,,
37448013,Human Olfactory Receptor Sensor for Odor Reconstitution,"Kuroda S, Nakaya-Kishi Y, Tatematsu K, Hinuma S.",Sensors (Basel). 2023 Jul 5,,,,,,,
34674963,Human attractive cues and mosquito host-seeking behavior,"Coutinho-Abreu IV, Riffell JA, Akbari OS.",Trends Parasitol. 2022 Mar,,,,,,,
