PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
23763733,Managing patients with necrotizing ulcerative gingivitis,"Atout RN, Todescan S.",J Can Dent Assoc. 2013,,,,,,,
15856772,[The questionnaire survey on oral malodor and teeth stains of male high school students],"Yanagisawa T, Shinada K, Kawaguchi Y.",Kokubyo Gakkai Zasshi. 2005 Mar,,,,,,,
12389360,Bad breath--a major disability according to the Talmud,"Shifman A, Orenbuch S, Rosenberg M.",Isr Med Assoc J. 2002 Oct,,,,,,,
28416849,[Effect of mechanical self-cleaning of tongue coating on malodor in halitosis patients originating from tongue coating],"Wang J, He L.",Beijing Da Xue Xue Bao Yi Xue Ban. 2017 Apr 18,,,,,,,
37624290,Volatile Sulfur Compounds Produced by the Anaerobic Bacteria Porphyromonas spp. Isolated from the Oral Cavities of Dogs,"Ito N, Itoh N, Kameshima S.",Vet Sci. 2023 Aug 4,,,,,,,
25626399,Highly efficient electronic sensitization of non-oxidized graphene flakes on controlled pore-loaded WO3 nanofibers for selective detection of H2S molecules,"Choi SJ, Choi C, Kim SJ, Cho HJ, Hakim M, Jeon S, Kim ID.",Sci Rep. 2015 Jan 28,,,,,,,
32213143,Lactoferrin and oral pathologies: a therapeutic treatment,"Rosa L, Lepanto MS, Cutone A, Ianiro G, Pernarella S, Sangermano R, Musci G, Ottolenghi L, Valenti P.",Biochem Cell Biol. 2021 Feb,,,,,,,
22266278,Comment on: Halitosis in obese patients and those undergoing bariatric surgery,Stiles LE.,Surg Obes Relat Dis. 2013 Mar-Apr,,,,,,,
17038053,"Oral hygiene practices, periodontal conditions, dentition status and self-reported bad mouth breath among young mothers, Tanzania","Mumghamba EG, Manji KP, Michael J.",Int J Dent Hyg. 2006 Nov,,,,,,,
23235637,Local interventions for the management of alveolar osteitis (dry socket),"Daly B, Sharif MO, Newton T, Jones K, Worthington HV.",Cochrane Database Syst Rev. 2012 Dec 12,,,,,,,
37444661,Association between Death or Hospitalization and Observable Variables of Eating and Swallowing Function among Elderly Residents in Long-Term Care Facilities: A Multicenter Prospective Cohort Study,"Takeda M, Watanabe Y, Taira K, Miura K, Ohara Y, Iwasaki M, Ito K, Nakajima J, Iwasa Y, Itoda M, Nishi Y, Watanabe Y, Kishima M, Hirano H, Shirobe M, Minakuchi S, Yoshida M, Yamazaki Y.",Healthcare (Basel). 2023 Jun 22,,,,,,,
