PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
37439803;Halitosis Relief Effect of Mouthwash Containing Lespedeza cuneata Extract: A Randomised, Double-Blind, Placebo-Controlled Study;Kim YR, Nam SH.;Oral Health Prev Dent. 2023 Jul 13;;;;;;;
35080078;Effect of lemon essential oil on halitosis;Ma L, Pang C, Yan C, Chen J, Wang X, Hui J, Zhou L, Zhang X.;Oral Dis. 2023 May;;;;;;;
38750491;Halitosis in young patients with chronic kidney disease: findings from a randomized controlled trial;Hoefer KC, Barbe AG, Adams A, Schoppmeier C, Wicht MJ, Weber LT, Noack MJ, Graf I.;Head Face Med. 2024 May 15;;;;;;;
36760146;Effects of thyme on halitosis in gingivitis patients: Can thyme mouthwash prevent halitosis-A randomized trial;Altındal D, Deveci KC, Öner Talmaç AG, Talmaç AC, Çalışır M.;Int J Dent Hyg. 2023 May;;;;;;;
36459058;Effect of face masks on salivary parameters and halitosis: Randomized controlled crossover trial;Kanzow P, Rammert LS, Rohland B, Barke S, Placzek M, Wiegand A.;J Oral Pathol Med. 2023 Jan;;;;;;;
37493204;Lactobacillus paracasei ET-22 and derived postbiotics reduce halitosis and modulate oral microbiome dysregulation - a randomized, double-blind placebo-controlled clinical trial;Wuri G, Liu F, Sun Z, Fang B, Zhao W, Hung WL, Liu WH, Zhang X, Wang R, Wu F, Zhao L, Zhang M.;Food Funct. 2023 Aug 14;;;;;;;
37503575;The effect of mastic mouthwash on halitosis and oral hygiene in orthodontic patients: a randomized clinical trial;Tsironi K, Mylonopoulou IM, Pandis N, Vassilopoulos S, Sifakakis I, Papaioannou W.;Eur J Orthod. 2023 Nov 30;;;;;;;
37793316;Effects of preoperative oral care on bacterial colonisation and halitosis in patients undergoing elective surgery: A randomised controlled study;Lee WY, Marc O'Donnell J, Kuo SY.;Intensive Crit Care Nurs. 2024 Feb;;;;;;;
37231271;Effects of water flossing on gingival inflammation and supragingival plaque microbiota: a 12-week randomized controlled trial;Xu X, Zhou Y, Liu C, Zhao L, Zhang L, Li H, Li Y, Cheng X.;Clin Oral Investig. 2023 Aug;;;;;;;
38702623;Efficacy of a mouthwash containing ε-poly-L-lysine, funme peptides and domiphen in reducing halitosis and supragingival plaque: a randomized clinical trial;Shen S, Liu X, Huang J, Sun Y, Liu B, Song W, Meng L, Du M, Feng Q.;BMC Oral Health. 2024 May 3;;;;;;;
36517997;Acute-phase response following one-stage full-mouth versus quadrant non-surgical periodontal treatment in subjects with comorbid type 2 diabetes: A randomized clinical trial;Graziani F, Gennai S, Marruganti C, Peric M, Ghiadoni L, Marhl U, Petrini M.;J Clin Periodontol. 2023 Apr;;;;;;;
36385592;Effects of single rinse with three different types of mouthwashes on VSCs levels in morning breath: Randomized, double-blind, crossover clinical trial;Luzi S, Mancini L, Tarallo F, Manenti RJ, Mattei A, Fiasca F, Marchetti E.;Int J Dent Hyg. 2023 May;;;;;;;
38384124;Effectiveness of Glutamine Oral Care in Reducing Oral Mucositis and Improving Oral Health After Neurosurgery: A Randomized Controlled Trial with Microbiome Analysis;Gao Y, Yang H, Zhang X, Ma Y, Wang L.;Med Sci Monit. 2024 Feb 22;;;;;;;
38739771;Effect of lozenge surface texture, taste and acidity on salivary flow rate: A crossover preclinical trial in healthy subjects;Bianchetti CAB, Saccardin F, Filippi A.;Swiss Dent J. 2024 Feb 27;;;;;;;
